#
#  Data file for Mapnet
# --------------------------
# written Ying
#
# T ^ num_cities
#       (total number of nodes)
#       num_cities - the number of cities (int)
#
# t ^ num_clouds
#       (total number of clouds)
#       num_clouds - the number of clouds (int)
#
# R ^ num_isps
#       (total number of isps)
#       num_isps - the number of isps
#
# C ^ city_index ^ lat ^ long ^ city_name
#       (city)
#       city_index - unque index for each city (int)
#       lat - latidtie (float)
#       long - longitude (float)
#       city_name - the name of the city (string)
#
# c ^ cloud_index ^ cloud_name
#       (cloud)
#       cloud_index - unque index for each cloud (int)
#       cloud_name - name of the cloud (string)
#
# I ^ isp_index ^ isp2type ^ isp_name
#       (I isp with link data add to list)
#       (i isp without link data do not add to list)
#       isp_index - unque index for each isp (int)
#       isp_name - the name of the isp (string)
#       type - R or I (research or Indusrty)
#
# E ^ isp_name
#       (end of isp
#       marks the end of a isp
#
# P ^ city_index1 ^ city_index2 ^ bandwidth
#       (pipe)
#       city_index1 - the index of the to city (int)
#       city_index2 - the index of the from city (int)
#       bandwidth - bandwidth of the connection (float)
#
# L ^ cloud_index ^ city_index ^ bandwidth
#       (link)
#       cloud- the index of the to cloud (int)
#       city_index - the index of the to city (int)
#       bandwidth - bandwidth of the connection (float)
#
# p ^ node_index ^ isp_index ^ isp_index
#       (peer)
#       node_index - where
T ^ 495
t ^ 4
R ^ 113
C ^ 92 ^ 41.14545 ^ -104.79234 ^ cheyenne, wy, us
C ^ 93 ^ 35.500 ^ 140.117 ^ chiba, *, japan
C ^ 94 ^ 41.850000000000001421 ^ -87.650000000000005684 ^ chicago, il, us
C ^ 95 ^ 39.728611111111113985 ^ -121.83638888888889085 ^ chico, ca, us
C ^ 96 ^ 48.43 ^ -71.10 ^ chicoutimi, *, canada
C ^ 97 ^ -26.85 ^ 150.33 ^ chinchilla, *, australia
C ^ 98 ^ 39.104166666666671404 ^ -84.519444444444445708 ^ cincinnati, oh, us
C ^ 99 ^ 41.48 ^ -81.68 ^ cleveland, oh, us
C ^ 100 ^ 38.980555555555554292 ^ -76.937222222222231949 ^ college park, md, us
C ^ 101 ^ 30.627777777777779988 ^ -96.334166666666661172 ^ college station, tx, us
C ^ 102 ^ 38.833889 ^ -104.82083 ^ colorado springs, co, us
C ^ 103 ^ 34.000555555555557419 ^ -81.034999999999996589 ^ columbia, sc, us
C ^ 104 ^ 32.51071 ^ -84.87497 ^ columbus, ga, us
C ^ 105 ^ 39.96111111111111569 ^ -82.998888888888885162 ^ columbus, oh, us
C ^ 106 ^ 37.978055555555556566 ^ -122.03000000000000114 ^ concord, ca, us
C ^ 107 ^ 42.45 ^ -71.33 ^ concord, ma, us
C ^ 108 ^ 55.71670 ^ 12.45000 ^ copenhagen, *, denmark
C ^ 109 ^ 30.80 ^ -85.38 ^ cottondale, fl, us
C ^ 110 ^ 42.442 ^ -76.500 ^ ctc, ny, us
C ^ 111 ^ -15.53 ^ -56.08 ^ cuiab�, *, brazil
C ^ 112 ^ 39.65 ^ -78.76 ^ cumberland, md, us
C ^ 113 ^ -25.42 ^ -49.42 ^ curitiba, *, brazil
C ^ 114 ^ 38.331111111111113132 ^ -77.051388888888880047 ^ dahlgren, va, us
C ^ 115 ^ 32.783333333333331439 ^ -96.799999999999997158 ^ dallas, tx, us
C ^ 116 ^ 33.50 ^ 36.32 ^ damascus, *, syria
C ^ 117 ^ 36.58318 ^ -79.40830 ^ danville, va, us
C ^ 118 ^ -12.4166 ^ 130.85 ^ darwin, *, australia
C ^ 119 ^ 38.97165 ^ -076.50303 ^ david taylor research center, md, us
C ^ 120 ^ 29.210555555555554719 ^ -81.023055555555558271 ^ daytona, fl, us
C ^ 121 ^ 42.316666666667 ^ -83.183333333 ^ dearborn, mi, us
C ^ 122 ^ 39.739166666666669414 ^ -104.98416666666666686 ^ denver, co, us
C ^ 123 ^ 41.59 ^ -93.62 ^ des moines, ia, us
C ^ 124 ^ 42.331388888888895394 ^ -83.045833333333334281 ^ detroit, mi, us
C ^ 125 ^ 38.850277777777777 ^ -77.129999999999995 ^ disa, va, us
C ^ 126 ^ 41.79720 ^ -88.0173 ^ dng, il, us
C ^ 127 ^ 41.850000000000001421 ^ -87.650000000000005684 ^ downers grove, il, us
C ^ 128 ^ 45.87 ^ -72.50 ^ drummondville, *, canada
C ^ 129 ^ 53.82 ^ -6.08 ^ dublin, *, ireland
C ^ 130 ^ 40.099166666666668846 ^ -83.114166666666662309 ^ dublin, oh, us
C ^ 131 ^ 43.133 ^ -70.917 ^ durham, nh, us
C ^ 132 ^ 44.78 ^ -91.49 ^ eau claire, wi, us
C ^ 133 ^ 53.55 ^ -113.46667 ^ edmonton, *, canada
C ^ 134 ^ 34.90962 ^ -117.93457 ^ edwards, ca, us
C ^ 135 ^ 35.11 ^ -92.09 ^ el paso, *, us
C ^ 136 ^ 31.76 ^ -106.48 ^ el paso, tx, us
C ^ 137 ^ 41.054999999999999716 ^ -73.820555555555557703 ^ elmsford, ny, us
C ^ 138 ^ 50.117 ^ 8.667 ^ eschborn, *, germany
